"uID","time","title","rating"
"1616991419067","4134","배트맨 대 슈퍼맨: 저스티스의 시작 (2016)","dislike"
"1616991419067","1813","디재스터 아티스트 (2017)","skip"
"1616991419067","947","공각 기동대: 고스트 인 더 쉘 (2017)","skip"
"1616991419067","935","앤트맨과 와스프 (2018)","like"
"1616991419067","1260","태그 (2018)","skip"
"1616991419067","1412","범블비 (2018)","skip"
"1616991419067","1512","드래곤 길들이기 3: 히든월드 (2019)","skip"
"1616991419067","1168","해피 데스데이 (2017)","skip"
"1616991419067","924","온워드: 단 하루의 기적 (2020)","skip"
"1616991419067","1282","매그니피센트 7 (2016)","skip"
"1616991419067","1416","보스 베이비 (2017)","skip"
"1616991419067","1061","라이언 킹 (2019)","like"
"1616991419067","1207","크리드 2 (2018)","skip"
"1616991419067","1684","존 윅 3: 파라벨룸 (2019)","skip"
"1616991419067","1076","모아나 (2016)","like"
"1616991419067","2910","배드 타임즈: 엘 로얄에서 생긴 일 (2018)","skip"
"1616991419067","1214","워크래프트: 전쟁의 서막 (2016)","skip"
"1616991419067","1791","스타트랙 비욘드 (2016)","like"
"1616991419067","1121","커뮤터 (2018)","skip"
"1616991419067","833","언컷 젬스 (2019)","skip"
"1616991419067","1074","한 솔로: 스타워즈 스토리 (2018)","skip"
"1616991419067","1226","로스트 인 더스트 (2016)","skip"
"1616991419067","1307","스파이더맨: 뉴 유니버스 (2018)","skip"
"1616991419067","834","닥터 스트레인지 (2016)","like"
"1616991419067","1224","배드 맘스 (2016)","skip"
"1616991419067","1209","샤잠! (2019)","skip"
"1616991419067","999","버드 박스 (2018)","skip"
"1616991419067","1943","머더 미스터리 (2019)","skip"
"1616991419067","1067","옥자 (2017)","skip"
"1616991419067","1232","스파이더맨: 파 프롬 홈 (2019)","like"
"1616991419067","2032","퍼스트맨 (2018)","skip"
"1616991419067","1035","저스티스 리그 (2017)","skip"
"1616991419067","1483","인디펜던스 데이: 리써전스 (2016)","skip"
"1616991419067","1224","캡틴 아메리카: 시빌 워 (2016)","dislike"
"1616991419067","1717","좀비랜드: 더블 탭 (2019)","dislike"
"1616991419067","1191","캡틴 판타스틱 (2016)","skip"
"1616991419067","942","레전드 오브 타잔 (2016)","skip"
"1616991419067","1001","더 넌 (2018)","skip"
"1616991419067","1349","유전 (2018)","skip"
"1616991419067","809","녹터널 애니멀스 (2016)","skip"
"1616991419067","1275","조조 래빗 (2019)","skip"
"1616991419067","824","어쌔신 크리드 (2016)","skip"
"1616991419067","1476","신비한 동물사전 (2016)","like"
"1616991419067","1182","Zootopia (2016)","like"
"1616991419067","3009","에일리언: 커버넌트 (2017)","skip"
"1616991419067","1217","너브 (2016)","skip"
"1616991419067","1240","테넷 (2020)","skip"
"1616991419067","1033","서치 (2018)","like"
"1616991419067","1392","가디언즈 오브 갤럭시 Vol. 2 (2017)","like"
"1616991419067","1276","애드 아스트라 (2019)","skip"
"1616991419067","1633","설리: 허드슨 강의 기적 (2016)","skip"
"1616991419067","1190","그것: 두 번째 이야기 (2019)","skip"
"1616991419067","1676","빅 식 (2017)","skip"
"1616991419067","800","아이, 토냐 (2017)","skip"
"1616991419067","1750","레이디 버드 (2017)","like"
"1616991419067","1650","신비한 동물들과 그린델왈드의 범죄 (2018)","skip"
"1616991419067","1974","원스 어폰 어 타임... 인 할리우드 (2019)","skip"
"1616991419067","3028","오 마이 그랜파 (2016)","dislike"
"1616991419067","1189","핵소 고지 (2016)","skip"
"1616991419067","6124","라라랜드 (2016)","like"
"1616991419067","3625","뮬란 (2020)","skip"
"1616991419067","1024","1917 (2019)","skip"
"1616991419067","1134","런던 해즈 폴른 (2016)","skip"
"1616991419067","799","레드 스패로 (2018)","skip"
"1616991419067","1334","월요일이 사라졌다 (2017)","skip"
"1616991419067","958","발레리안: 천 개 행성의 도시 (2017)","skip"
"1616991419067","825","쓰리 빌보드 (2017)","skip"
"1616991419067","808","13 시간 (2016)","skip"
"1616991419067","1218","브라이트 (2017)","skip"
"1616992324287","6082","에일리언: 커버넌트 (2017)","skip"
"1616992324287","7350","스파이더맨: 홈커밍 (2017)","skip"
"1616992324287","8949","고스트버스터즈 (2016)","skip"
"1616992324287","9860","어쌔신 크리드 (2016)","skip"
"1616992324287","11041","애나벨: 인형의 주인 (2017)","skip"
"1616992324287","12561","터미네이터: 다크 페이트 (2019)","skip"
"1616992324287","14364","헤일, 시저! (2016)","skip"
"1616992324287","15531","당갈 (2016)","skip"
"1616992324287","18270","라이프 (2017)","like"
"1616992324287","2873","어벤저스: 엔드게임 (2019)","skip"
"1616992324287","1278","미션 임파서블: 폴아웃 (2018)","skip"
"1616992324287","2152","킹스맨: 골든 서클 (2017)","like"
"1616992324287","1077","그린 북 (2018)","like"
"1616992324287","1286","브라이트 (2017)","skip"
"1616992324287","3065","몰리스 게임 (2017)","skip"
"1616992324287","1385","오 마이 그랜파 (2016)","skip"
"1616992324287","3001","디재스터 아티스트 (2017)","skip"
"1616992324287","1936","쥬만지: 새로운 세계 (2017)","skip"
"1616992324287","1744","예스터데이 (2019)","skip"
"1616992324287","1226","킬러의 보디가드 (2017)","skip"
"1616992324287","2330","6 언더그라운드 (2019)","like"
"1616992324287","1517","잭 리쳐: 네버 고 백 (2016)","skip"
"1616992324287","1578","파운더 (2016)","skip"
"1616992324287","1089","워크래프트: 전쟁의 서막 (2016)","skip"
"1616992324287","1177","아쿠아맨 (2018)","skip"
"1616992324287","919","쿵푸팬더 3 (2016)","skip"
"1616992324287","3258","애드 아스트라 (2019)","skip"
"1616992324287","1742","포드 v 페라리 (2019)","skip"
"1616992324287","2723","더 포스트 (2017)","skip"
"1616992324287","1362","할로윈 (2018)","skip"
"1616992324287","1344","보헤미안 랩소디 (2018)","like"
"1616992324287","1209","카우보이의 노래 (2018)","skip"
"1616992324287","3500","미이라 (2017)","like"
"1616992324287","1739","킬링 디어 (2017)","like"
"1616992324287","2554","인페르노 (2016)","skip"
"1616992324287","1125","어메이징 메리(2017)","skip"
"1616992324287","1066","씽 (2016)","skip"
"1616992324287","1290","레디 플레이어 원 (2018)","like"
"1616992324287","7554","토이 스토리 4 (2019)","dislike"
"1616992324287","1338","글래스 (2019)","skip"
"1616992324287","1000","머더 미스터리 (2019)","skip"
"1616992324287","1499","컨택트 (2016)","like"
"1616992324287","2190","샤잠! (2019)","skip"
"1616992324287","1589","어스 (2019)","like"
"1616992324287","1998","아이리시맨 (2019)","skip"
"1616992324287","1121","쉘로우 (2016)","skip"
"1616992324287","1098","원더 우먼 1984 (2020)","skip"
