timestamp,wid,email,hpdeathlyhollows1,hpdeathlyhollows1_rt,hpdeathlyhollows1_conf,hpdeathlyhollows1_watched,logan,logan_rt,logan_conf,logan_watched,thehelp,thehelp_rt,thehelp_conf,thehelp_watched,mollysgame,mollysgame_rt,mollysgame_conf,mollysgame_watched,thesocialnetwork,thesocialnetwork_rt,thesocialnetwork_conf,thesocialnetwork_watched,astarisborn,astarisborn_rt,astarisborn_conf,astarisborn_watched,readyplayerone,readyplayerone_rt,readyplayerone_conf,readyplayerone_watched,venom,venom_rt,venom_conf,venom_watched,theequalizer2,theequalizer2_rt,theequalizer2_conf,theequalizer2_watched,foxcatcher,foxcatcher_rt,foxcatcher_conf,foxcatcher_watched,lifeasweknowit,lifeasweknowit_rt,lifeasweknowit_conf,lifeasweknowit_watched,kickass2,kickass2_rt,kickass2_conf,kickass2_watched,sing,sing_rt,sing_conf,sing_watched,passengers,passengers_rt,passengers_conf,passengers_watched,warfortheplanetofapes,warfortheplanetofapes_rt,warfortheplanetofapes_conf,warfortheplanetofapes_watched,thedanishgirl,thedanishgirl_rt,thedanishgirl_conf,thedanishgirl_watched,theniceguys,theniceguys_rt,theniceguys_conf,theniceguys_watched,sanandreas,sanandreas_rt,sanandreas_conf,sanandreas_watched,ageofultron,ageofultron_rt,ageofultron_conf,ageofultron_watched,insidious,insidious_rt,insidious_conf,insidious_watched,theshallows,theshallows_rt,theshallows_conf,theshallows_watched,ozthegreat,ozthegreat_rt,ozthegreat_conf,ozthegreat_watched,johnnyenglishreborn,johnnyenglishreborn_rt,johnnyenglishreborn_conf,johnnyenglishreborn_watched,tombraider,tombraider_rt,tombraider_conf,tombraider_watched,salt,salt_rt,salt_conf,salt_watched,hottubtimemachine,hottubtimemachine_rt,hottubtimemachine_conf,hottubtimemachine_watched,robocop,robocop_rt,robocop_conf,robocop_watched,agooddaytodiehard,agooddaytodiehard_rt,agooddaytodiehard_conf,agooddaytodiehard_watched,ghostrider,ghostrider_rt,ghostrider_conf,ghostrider_watched,inception,inception_rt,inception_conf,inception_watched
9/18/2019,AKV1P0K20UNF0,undefined,like,1825.03,5,watched,like,2015.66,4,watched,dunno,1317.465,1,not,dunno,2971.1,1,not,like,1875.585,5,watched,dunno,1271.685,1,not,like,1838.665,5,watched,dunno,2552.565,1,not,like,2783.88,4,watched,dunno,1311.46,1,not,dunno,2529.94,1,not,like,1257.2,5,watched,dunno,1583.48,1,not,like,1445.975,5,watched,like,1487.205,5,watched,dunno,1189.93,1,not,like,1488.395,5,watched,dislike,2329.02,1,not,like,2216.55,3,watched,like,1591.095,4,watched,dislike,1251.765,5,watched,dislike,1719.06,5,watched,dislike,2697.61,5,watched,dislike,1727.525,1,not,dunno,1559.255,1,not,like,1462.07,5,watched,dislike,1982.365,1,not,dislike,2532.465,4,watched,dunno,2478.585,1,not,like,2627.365,5,watched
9/18/2019,A1EAHANTOXVWMU,undefined,like,1602.855,4,watched,like,1454.255,5,watched,dunno,2063.085,5,not,dislike,908.43,5,not,like,372.91,3,watched,dunno,1840.89,5,not,like,1370.6,4,watched,like,4246.92,4,watched,like,1565.17,4,watched,dislike,1760.835,5,watched,dislike,528.97,5,watched,like,1460.62,5,watched,dunno,651.355,5,not,dislike,781.32,4,watched,like,265.43,5,watched,dunno,2247.845,5,not,dislike,1542.18,4,watched,like,2025.98,3,watched,like,1047.92,5,watched,dislike,565.975,5,watched,dislike,417.945,5,watched,like,353.85,5,watched,dislike,2030.895,5,watched,like,1339.955,4,watched,like,614.39,3,watched,dislike,1785.6,5,watched,like,562.535,5,watched,like,604.02,3,watched,like,2082.315,3,watched,like,1302.78,4,watched
9/18/2019,A14XKU3PZUL2T6,undefined,dunno,1087.835,2,watched,like,856.09,1,watched,like,784.09,1,not,dislike,663.765,1,not,like,832.015,1,watched,dislike,680.14,1,not,like,456.24,1,watched,dislike,720.105,1,not,dislike,823.985,1,not,dislike,615.82,1,not,dislike,855.925,1,not,like,695.965,1,watched,like,7976.16,1,watched,like,1719.82,2,watched,like,639.91,1,not,like,791.985,1,not,dislike,1136.085,1,not,dunno,624.565,1,not,dislike,696.01,1,not,like,856.02,1,not,dunno,864.15,1,watched,dislike,856,1,not,like,944.05,1,watched,dislike,847.615,1,not,dunno,960.175,1,not,dislike,663.755,1,watched,like,1167.93,1,not,like,895.94,1,watched,like,735.975,1,watched,like,1015.79,1,watched
9/18/2019,A3UN1F1EOHKKE6,undefined,like,2127.97,5,watched,like,1776.23,5,watched,like,1623.955,3,not,like,4223.8,4,not,like,5304.095,5,watched,dislike,3527.445,4,not,like,5495.935,3,not,like,1808.565,5,watched,like,2432.13,3,not,like,4351.675,3,not,dislike,3288.08,5,not,like,3719.95,4,watched,dislike,2263.745,4,not,dislike,1343.94,4,not,like,2183.99,4,not,like,2832.53,3,not,like,2912.155,5,watched,dislike,1760.9,5,not,like,2167.07,5,watched,dislike,1671.94,5,not,dislike,1871.815,5,not,like,2336.15,4,not,like,1872.045,4,not,like,3439.515,3,not,like,1599.83,5,watched,like,2087.985,5,watched,dislike,2352.185,3,not,like,2744.03,4,watched,dislike,3016.13,4,not,like,1408.16,5,watched
9/18/2019,AIHCZOO4BTPTJ,undefined,like,1306.155,5,watched,like,1777.19,5,watched,like,1489.135,5,watched,dunno,962.135,3,not,like,1127.125,4,watched,like,2450.235,4,not,like,2067.22,5,watched,like,1378.075,5,watched,dunno,2130.29,2,not,dunno,3671.51,2,not,dunno,2156.24,1,not,like,1344.15,5,watched,dislike,580.055,2,not,dunno,1840.18,2,not,like,1485.255,5,watched,dunno,2241.215,2,not,like,1560.22,5,watched,like,2258.285,5,watched,like,2306.17,4,watched,dislike,1613.15,5,not,like,1562.15,5,watched,dunno,2874.315,1,not,dislike,2308.225,1,not,like,1785.165,5,watched,dunno,1436.16,2,not,dunno,1155.13,2,not,dunno,5152.525,3,not,like,2075.21,2,not,like,4087.475,5,watched,like,1641.16,5,watched
9/18/2019,ADLYO655RWJUI,undefined,dislike,1135.945,5,watched,dislike,1504.92,5,watched,like,2158,5,watched,like,7740.005,5,watched,like,975.065,5,watched,dislike,2424.835,5,watched,dislike,2250.04,5,watched,dislike,1380.705,5,watched,dislike,1650.08,5,watched,dislike,2564.1,5,watched,dislike,716.845,5,watched,dislike,617.075,5,watched,like,672.88,5,watched,dislike,1915.56,5,watched,dislike,1849.105,5,watched,dislike,1359.925,5,watched,like,2947.975,5,watched,dislike,1364.075,5,watched,dislike,488.92,5,watched,like,1178.975,5,watched,like,1837.07,5,watched,like,486.025,5,watched,dislike,812.15,5,watched,dislike,1549.825,5,watched,dislike,1199.915,5,watched,like,2005.085,5,watched,dislike,2255.945,5,watched,dislike,2888.94,5,watched,dislike,2362.83,5,watched,like,1984.96,5,watched
9/18/2019,A4SC8G0149GEG,undefined,like,1131.995,5,watched,like,993.075,5,watched,dislike,2061.08,5,not,like,2187.82,4,not,dislike,2298.42,5,not,dislike,1987.755,4,not,like,334.92,5,watched,like,1096.975,4,not,dislike,2096.125,3,not,dunno,3422.13,1,not,like,3239.945,3,not,like,1079.27,5,watched,dislike,1346.955,5,not,dislike,2777.975,3,not,like,1118.165,4,not,dislike,2785.23,5,not,like,1351.95,4,not,like,4323.79,4,not,like,985.02,5,watched,like,1214.825,5,watched,like,1191.24,5,watched,dunno,4870.095,2,not,dislike,1803.655,5,not,like,1566.85,4,not,dunno,1767.04,1,not,like,1736.965,5,watched,like,1252.05,4,not,like,1341.875,5,not,like,1273.045,4,not,like,1065.72,5,watched
9/18/2019,A2QD7QFGCUNF5N,undefined,dunno,890.935,5,not,dunno,1358.925,5,not,dislike,1502.87,5,watched,dunno,1005.21,5,not,dunno,797.88,5,not,dunno,656.215,5,not,dunno,1117.01,5,not,dunno,1348.52,5,not,dunno,910.895,5,not,dunno,918.15,5,not,dunno,1019.885,5,not,dunno,931.83,5,not,dunno,3557.725,5,not,dunno,720.095,5,not,dunno,1006,5,not,dunno,991.0599999,5,not,dunno,711.8950001,5,not,dunno,893,5,not,dunno,786.995,5,not,dunno,490.92,5,watched,dunno,812.075,5,not,dunno,626.03,5,not,dunno,757.895,5,not,dunno,708.1050001,5,not,dunno,1139.28,5,not,dunno,551.83,5,not,dunno,1223.79,5,not,dunno,687.9850001,5,watched,dunno,896.96,5,not,like,345.87,5,watched
9/18/2019,A2YCMT5BPA0AG9,undefined,like,1376.085,4,watched,like,1264.36,5,watched,like,2872.03,4,watched,dunno,2856.075,1,not,dunno,2448.465,1,not,like,1543.595,4,watched,like,959.835,3,watched,dunno,2463.625,2,watched,like,2672.09,4,watched,like,2767.215,4,watched,dunno,1648.23,1,not,like,1592.34,5,watched,dunno,1808.115,1,not,dislike,6528.235,2,watched,like,1624.225,5,watched,dunno,1670.995,1,not,dunno,4471.755,1,not,dunno,2088.1,1,not,like,1433.465,5,watched,like,2160.305,4,watched,dunno,568.39,1,not,like,5287.85,3,watched,like,8840.76,4,watched,dunno,431.94,3,watched,like,1137.03,4,watched,like,543.73,4,watched,like,7320.18,2,watched,like,2431.925,4,watched,dunno,5143.87,1,not,like,633.06,5,watched
9/18/2019,A2YCMT5BPA0AG9,undefined,like,1376.085,4,watched,like,1264.36,5,watched,like,2872.03,4,watched,dunno,2856.075,1,not,dunno,2448.465,1,not,like,1543.595,4,watched,like,959.835,3,watched,dunno,2463.625,2,watched,like,2672.09,4,watched,like,2767.215,4,watched,dunno,1648.23,1,not,like,1592.34,5,watched,dunno,1808.115,1,not,dislike,6528.235,2,watched,like,1624.225,5,watched,dunno,1670.995,1,not,dunno,4471.755,1,not,dunno,2088.1,1,not,like,1433.465,5,watched,like,2160.305,4,watched,dunno,568.39,1,not,like,5287.85,3,watched,like,8840.76,4,watched,dunno,431.94,3,watched,like,1137.03,4,watched,like,543.73,4,watched,like,7320.18,2,watched,like,2431.925,4,watched,dunno,5143.87,1,not,like,633.06,5,watched
