"uID","time","title","rating"
"1618488753152","16834","Sausage Party (2016)","like"
"1618488753152","4704","Bad Moms (2016)","skip"
"1618488753152","1563","Tenet (2020)","skip"
"1618488753152","1253","Doctor Sleep (2019)","like"
"1618488753152","2097","El Camino: A Breaking Bad Movie (2019)","like"
"1618488753152","1346","The Great Wall (2016)","skip"
"1618488753152","1130","Wonder Woman 1984 (2020)","skip"
"1618488753152","1530","War for the Planet of the Apes (2017)","like"
"1618488753152","1203","Gifted (2017)","skip"
"1618488753152","1267","Me Before You (2016)","skip"
"1618488753152","3179","The Jungle Book (2016)","like"
"1618488753152","926","Joker (2019)","like"
"1618488753152","1482","Bohemian Rhapsody (2018)","skip"
"1618488753152","1965","Rampage (2018)","like"
"1618488753152","1168","Frozen II (2019)","skip"
"1618488753152","928","Toy Story 4 (2019)","skip"
"1618488753152","1104","The Foreigner (2017)","skip"
"1618488753152","981","Atomic Blonde (2017)","skip"
"1618488753152","1036","The Trial of the Chicago 7 (2020)","skip"
"1618488753152","1915","How to Train Your Dragon: The Hidden World (2019)","skip"
"1618488753152","1318","Skyscraper (2018)","skip"
"1618488753152","2667","The Mule (2018)","dislike"
"1618488753152","2917","Bad Times at the El Royale (2018)","skip"
"1618488753152","1632","Deadpool 2 (2018)","like"
"1618488807312","2669","Power Rangers (2017)","like"
"1618488807312","685","Wonder (2017)","skip"
"1618488753152","1135","Lady Bird (2017)","like"
"1618488807312","1455","Captain Fantastic (2016)","like"
"1618488753152","1332","Pacific Rim: Uprising (2018)","skip"
"1618488753152","1199","Swiss Army Man (2016)","skip"
"1618488807312","1959","The Lion King (2019)","dislike"
"1618488753152","1153","Happy Death Day (2017)","skip"
"1618488753152","1279","Captain Fantastic (2016)","skip"
"1618488753152","1184","1917 (2019)","like"
"1618488807312","3619","Skyscraper (2018)","like"
"1618488753152","1452","Neighbors 2: Sorority Rising (2016)","like"
"1618488807312","1431","Captain Marvel (2019)","dislike"
"1618488753152","1131","A Star Is Born (2018)","like"
"1618488807312","1365","The Shape of Water (2017)","dislike"
"1618488753152","1300","Jack Reacher: Never Go Back (2016)","skip"
"1618488807312","1293","Murder on the Orient Express (2017)","like"
"1618488753152","2537","Valerian and the City of a Thousand Planets (2017)","skip"
"1618488807312","1762","Green Book (2018)","like"
"1618488753152","1332","Split (2016)","skip"
"1618488807312","1870","The Post (2017)","dislike"
"1618488753152","1715","Ad Astra (2019)","dislike"
"1618488807312","1365","Halloween (2018)","like"
"1618488807312","878","Captain America: Civil War (2016)","like"
"1618488807312","1302","Allegiant (2016)","like"
"1618488753152","2517","The Accountant (2016)","skip"
"1618488807312","1310","Avengers: Endgame (2019)","like"
"1618488753152","1266","Beauty and the Beast (2017)","skip"
"1618488807312","1421","Me Before You (2016)","dislike"
"1618488753152","1584","Spider-Man: Into the Spider-Verse (2018)","like"
"1618488807312","1198","Onward (2020)","like"
"1618488753152","1537","Why Him? (2016)","skip"
"1618488807312","1020","The Meg (2018)","like"
"1618488753152","1461","Upgrade (2018)","skip"
"1618488807312","1050","Blade Runner 2049 (2017)","like"
"1618488807312","1013","1917 (2019)","like"
"1618488753152","1273","The Killing of a Sacred Deer (2017)","skip"
"1618488753152","1197","Tomb Raider (2018)","skip"
"1618488807312","1545","Bright (2017)","dislike"
"1618488753152","1168","Coco (2017)","skip"
"1618488807312","1156","Neighbors 2: Sorority Rising (2016)","like"
"1618488753152","1246","Avengers: Endgame (2019)","like"
"1618488807312","1271","Dangal (2016)","dislike"
"1618488753152","1416","The Mummy (2017)","skip"
"1618488807312","1805","I, Tonya (2017)","dislike"
"1618488753152","869","Deadpool (2016)","like"
"1618488807312","1283","Dunkirk (2017)","like"
"1618488753152","1534","Hacksaw Ridge (2016)","like"
"1618488807312","1526","Fantastic Beasts and Where to Find Them (2016)","dislike"
"1618488753152","1266","The Magnificent Seven (2016)","like"
"1618488807312","1260","Knives Out (2019)","like"
"1618488753152","1198","Wind River (2017)","skip"
"1618488807312","1480","Lion (2016)","dislike"
"1618488753152","1286","Life (2017)","skip"
"1618488753152","1115","Glass (2019)","skip"
"1618488807312","1288","John Wick: Chapter 2 (2017)","like"
"1618488753152","1617","Fantastic Beasts and Where to Find Them (2016)","skip"
"1618488807312","1575","Lights Out (2016)","dislike"
"1618488807312","1078","Pirates of the Caribbean: Dead Men Tell No Tales (2017)","like"
"1618488753152","1534","Mission: Impossible - Fallout (2018)","skip"
"1618488753152","976","Vice (2018)","skip"
"1618488807312","1850","King Arthur: Legend of the Sword (2017)","like"
"1618488753152","1690","The Lego Batman Movie (2017)","like"
"1618488807312","2073","The Big Sick (2017)","dislike"
"1618488753152","1066","Moana (2016)","like"
"1618488807312","1243","Okja (2017)","like"
"1618488753152","1250","Extraction (2020)","skip"
"1618488807312","1291","The Killing of a Sacred Deer (2017)","dislike"
"1618488753152","1216","Klaus (2019)","skip"
"1618488753152","2769","Game Night (2018)","like"
"1618488807312","4321","Annabelle: Creation (2017)","like"
"1618488807312","198","Warcraft (2016)","like"
"1618488753152","1633","The Legend of Tarzan (2016)","skip"
"1618488807312","188","The Girl on the Train (2016)","like"
"1618488807312","596","Inferno (2016)","dislike"
"1618488807312","450","Ant-Man and the Wasp (2018)","dislike"
"1618488807312","199","A Star Is Born (2018)","dislike"
"1618488753152","1966","Darkest Hour (2017)","skip"
"1618488807312","686","Allied (2016)","like"
"1618488753152","1334","Ford v Ferrari (2019)","like"
"1618488753152","883","Lights Out (2016)","skip"
"1618488753152","1549","Wonder (2017)","skip"
"1618488753152","1118","Mother! (2017)","skip"
"1618488753152","1152","Silence (2016)","skip"
"1618488753152","1664","Triple Frontier (2019)","skip"
"1618488753152","1050","Jojo Rabbit (2019)","like"
"1618488753152","1252","Zombieland: Double Tap (2019)","like"
"1618488753152","1399","La La Land (2016)","skip"
"1618488753152","885","Soul (2020)","skip"
"1618488753152","948","Star Trek Beyond (2016)","skip"
"1618488753152","1016","Sing (2016)","skip"
"1618488753152","2502","Batman v Superman: Dawn of Justice (2016)","like"
"1618488753152","947","Crazy Rich Asians (2018)","like"
"1618488753152","1566","London Has Fallen (2016)","skip"
"1618488753152","1168","Godzilla: King of the Monsters (2019)","like"
"1618488753152","1433","Maze Runner: The Death Cure (2018)","skip"
"1618488753152","1283","Aquaman (2018)","skip"
"1618488916323","14933","Searching (2018)","like"
"1618488916323","7316","Sausage Party (2016)","dislike"
"1618488916323","2103","Jack Reacher: Never Go Back (2016)","like"
"1618488916323","2858","The Post (2017)","like"
"1618488916323","2032","Mission: Impossible - Fallout (2018)","like"
"1618488916323","2225","Alita: Battle Angel (2019)","like"
"1618488916323","1959","Logan (2017)","like"
"1618488916323","2600","Allied (2016)","dislike"
"1618488916323","2735","The Girl on the Train (2016)","dislike"
"1618488916323","2193","Ant-Man and the Wasp (2018)","like"
"1618488916323","2000","The Nun (2018)","like"
"1618488916323","2048","Borat Subsequent Moviefilm (2020)","dislike"
"1618488916323","2008","La La Land (2016)","dislike"
"1618488916323","1857","Phantom Thread (2017)","dislike"
"1618488916323","2143","Allegiant (2016)","like"
