id,title,rating,conf,rt,rt_log,rt_lognorm
1568829930,hpdeathlyhollows1,skip,2,1629.18,7.3958320997352445,0.021699949101067015
1568829930,logan,skip,1,2227.345,7.708565572187583,0.20404020308647347
1568829930,thehelp,like,4,2952.105,7.990273754193488,0.36829106198534745
1568829930,mollysgame,skip,2,1954.645,7.577963870253042,0.1278924619606817
1568829930,thesocialnetwork,skip,4,1937.825,7.569321489095881,0.12285349391265613
1568829930,astarisborn,dislike,5,2549.82,7.843778047425711,0.2828762703727254
1568829930,readyplayerone,skip,4,1569.66,7.358614314380186,0.0
1568829930,venom,skip,2,3766.79,8.233978458859102,0.5103838715516114
1568829930,theequalizer2,like,2,1665.34,7.417784585771908,0.03449941648186133
1568829930,foxcatcher,skip,2,2087.245,7.6436002935747736,0.16616198906095797
1568829930,lifeasweknowit,skip,2,2602.0,7.86403565907245,0.29468753580536033
1568829930,kickass2,like,2,2015.3,7.608523346673444,0.14571026268556694
1568829930,sing,dislike,2,2168.155,7.681631854468874,0.18833641259967449
1568829930,passengers,dislike,4,2023.565,7.612616086359923,0.14809654768434494
1568829930,warfortheplanetofapes,skip,2,1931.86,7.566238548378721,0.12105597544115816
1568829930,thedanishgirl,skip,1,1858.565,7.5275599635674695,0.09850430253267345
1568829930,theniceguys,skip,2,1783.515,7.486341415192511,0.07447169572322763
1568829930,sanandreas,skip,3,3854.94,8.257110721673971,0.5238712115662405
1568829930,ageofultron,skip,3,2229.37,7.709474313329593,0.2045700475234687
1568829930,insidious,skip,4,2280.41,7.732110530343392,0.21776816644306715
1568829930,theshallows,skip,1,2300.895,7.741053456660412,0.22298236831033508
1568829930,ozthegreat,like,1,2184.38,7.689087314403818,0.192683342422874
1568829930,johnnyenglishreborn,like,2,1878.16,7.538047853157253,0.10461930019050644
1568829930,tombraider,dislike,1,2208.9,7.700249933042781,0.1991917430165486
1568829930,salt,dislike,5,2800.775,7.937651443579482,0.3376094550328997
1568829930,hottubtimemachine,like,5,8723.045,9.073723653195563,1.0
1568829930,robocop,dislike,2,2303.335,7.742113351682345,0.2236003435017393
1568829930,agooddaytodiehard,dislike,2,2573.925,7.853187250202429,0.2883623362250732
